Camera ID,Camera Name,Event Created At
8,PTZ-Massar Sector 14,2024-05-15 16:51:00.767894+00:00
5,PTZ-Oghi Solar,2024-05-15 16:46:08.572104+00:00
3,PTZ-Danna Top,2024-05-15 16:27:24.201059+00:00
5,PTZ-Oghi Solar,2024-05-15 16:11:37.133612+00:00
3,PTZ-Danna Top,2024-05-15 15:56:38.988919+00:00
5,PTZ-Oghi Solar,2024-05-15 15:37:05.818304+00:00
3,PTZ-Danna Top,2024-05-15 15:30:40.970264+00:00
3,PTZ-Danna Top,2024-05-15 15:30:19.684282+00:00
3,PTZ-Danna Top,2024-05-15 15:29:56.884560+00:00
3,PTZ-Danna Top,2024-05-15 15:27:42.325790+00:00
5,PTZ-Oghi Solar,2024-05-15 15:02:34.072180+00:00
8,PTZ-Massar Sector 14,2024-05-15 14:35:40.952025+00:00
5,PTZ-Oghi Solar,2024-05-15 14:29:33.874044+00:00
5,PTZ-Oghi Solar,2024-05-15 13:53:32.678764+00:00
8,PTZ-Massar Sector 14,2024-05-15 13:53:20.015480+00:00
3,PTZ-Danna Top,2024-05-15 13:22:56.228497+00:00
8,PTZ-Massar Sector 14,2024-05-15 13:22:27.682818+00:00
5,PTZ-Oghi Solar,2024-05-15 13:18:59.900254+00:00
3,PTZ-Danna Top,2024-05-15 12:52:09.602091+00:00
5,PTZ-Oghi Solar,2024-05-15 12:44:28.728848+00:00
3,PTZ-Danna Top,2024-05-15 12:21:25.486621+00:00
5,PTZ-Oghi Solar,2024-05-15 12:09:57.331342+00:00
3,PTZ-Danna Top,2024-05-15 11:50:40.470375+00:00
5,PTZ-Oghi Solar,2024-05-15 11:35:57.014607+00:00
